"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 22 01:08:29 UTC 2025","Wed Oct 22 01:08:29 UTC 2025","0","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_user_can_navigate_to_login_from_home",""
"broken","Wed Oct 22 01:01:25 UTC 2025","Wed Oct 22 01:01:25 UTC 2025","0","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_invalid_credentials",""
"broken","Wed Oct 22 01:06:50 UTC 2025","Wed Oct 22 01:06:50 UTC 2025","0","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[password_mismatch-user_data3-1]",""
"failed","Wed Oct 22 01:09:00 UTC 2025","Wed Oct 22 01:09:02 UTC 2025","1131","tests.test_smoke","test_products","TestProductsSmoke","","","test_main_categories_accessible",""
"passed","Wed Oct 22 01:07:22 UTC 2025","Wed Oct 22 01:07:22 UTC 2025","131","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[weak_password-user_data4-1]",""
"passed","Wed Oct 22 01:05:47 UTC 2025","Wed Oct 22 01:05:48 UTC 2025","126","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[empty_first_name-user_data0-1]",""
"broken","Wed Oct 22 01:05:48 UTC 2025","Wed Oct 22 01:05:48 UTC 2025","0","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[empty_last_name-user_data1-1]",""
"failed","Wed Oct 22 01:07:23 UTC 2025","Wed Oct 22 01:07:24 UTC 2025","349","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_weak_passwords",""
"passed","Wed Oct 22 01:08:27 UTC 2025","Wed Oct 22 01:08:27 UTC 2025","342","tests.test_smoke","test_home_page","TestHomePage","","","test_home_page_loading",""
"broken","Wed Oct 22 01:05:15 UTC 2025","Wed Oct 22 01:05:15 UTC 2025","0","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_female_gender",""
"broken","Wed Oct 22 01:07:24 UTC 2025","Wed Oct 22 01:07:24 UTC 2025","0","tests.test_regression","test_registration","TestRegistration","","","test_duplicate_email_registration",""
"broken","Wed Oct 22 01:00:53 UTC 2025","Wed Oct 22 01:00:53 UTC 2025","0","tests.test_regression","test_auth","TestLoginRegression","","","test_login_page_loading",""
"passed","Wed Oct 22 01:03:02 UTC 2025","Wed Oct 22 01:03:02 UTC 2025","306","tests.test_regression","Cart Tests","TestCart","","","Empty cart message display",""
"broken","Wed Oct 22 01:03:36 UTC 2025","Wed Oct 22 01:03:36 UTC 2025","0","tests.test_regression","test_cart","TestCartEdgeCases","","","Product large quantity",""
"passed","Wed Oct 22 01:02:29 UTC 2025","Wed Oct 22 01:02:29 UTC 2025","278","tests.test_regression","test_auth","TestLoginRegression","","","test_forgot_password_link",""
"passed","Wed Oct 22 01:08:29 UTC 2025","Wed Oct 22 01:08:29 UTC 2025","627","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_home_page_login_state_indicators",""
"broken","Wed Oct 22 01:00:20 UTC 2025","Wed Oct 22 01:00:20 UTC 2025","0","tests","test_auth_flow","","","","test_complete_auth_flow","
Test complete authentication flow using centralized test data
"
"broken","Wed Oct 22 01:06:19 UTC 2025","Wed Oct 22 01:06:19 UTC 2025","0","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[empty_email-user_data2-1]",""
"broken","Wed Oct 22 01:03:13 UTC 2025","Wed Oct 22 01:03:13 UTC 2025","0","tests.test_regression","Cart Tests","TestCart","","","Remove product",""
"passed","Wed Oct 22 01:08:26 UTC 2025","Wed Oct 22 01:08:26 UTC 2025","287","tests.test_smoke","test_cart","TestCartSmoke","","","Loading cart",""
"passed","Wed Oct 22 01:09:25 UTC 2025","Wed Oct 22 01:09:25 UTC 2025","7","tests.test_smoke","test_registration","TestRegistrationSmoke","","","test_registration_page_accessible_from_home",""
"broken","Wed Oct 22 01:02:29 UTC 2025","Wed Oct 22 01:02:29 UTC 2025","0","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_random_email",""
"broken","Wed Oct 22 01:04:21 UTC 2025","Wed Oct 22 01:04:32 UTC 2025","10589","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","Navigation trough subcategories","Test navigation through subcategories"
"passed","Wed Oct 22 01:08:29 UTC 2025","Wed Oct 22 01:08:29 UTC 2025","9","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_login_page_accessible",""
"passed","Wed Oct 22 01:08:27 UTC 2025","Wed Oct 22 01:08:28 UTC 2025","363","tests.test_smoke","test_home_page","TestHomePage","","","test_register_link_visible",""
"broken","Wed Oct 22 01:09:02 UTC 2025","Wed Oct 22 01:09:13 UTC 2025","11157","tests.test_smoke","test_products","TestProductsSmoke","","","test_search_functionality_working",""
"broken","Wed Oct 22 01:04:32 UTC 2025","Wed Oct 22 01:04:43 UTC 2025","11131","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","test_direct_subcategory_navigation","Test direct navigation to specific subcategories"
"passed","Wed Oct 22 01:03:47 UTC 2025","Wed Oct 22 01:03:48 UTC 2025","400","tests.test_regression","Products Tests","TestProductsBasic","","","Check computers category has subcategories",""
"broken","Wed Oct 22 01:09:13 UTC 2025","Wed Oct 22 01:09:24 UTC 2025","10699","tests.test_smoke","test_products","TestProductsSmoke","","","test_product_details_accessible",""
"broken","Wed Oct 22 01:03:48 UTC 2025","Wed Oct 22 01:03:58 UTC 2025","10691","tests.test_regression","Products Tests","TestProductsBasic","","","Navigate to desktops subcategory",""
"broken","Wed Oct 22 01:03:25 UTC 2025","Wed Oct 22 01:03:25 UTC 2025","0","tests.test_regression","test_cart","TestCartEdgeCases","","","Set quantity to 0",""
"failed","Wed Oct 22 01:03:01 UTC 2025","Wed Oct 22 01:03:01 UTC 2025","339","tests.test_regression","test_auth","TestLoginLogoutFlow","","","test_user_login_state_changes",""
"broken","Wed Oct 22 01:01:57 UTC 2025","Wed Oct 22 01:01:57 UTC 2025","0","tests.test_regression","test_auth","TestLoginRegression","","","test_remember_me_functionality",""
"passed","Wed Oct 22 01:04:21 UTC 2025","Wed Oct 22 01:04:21 UTC 2025","359","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","Computers category has expected subcategories","Test that computers category has expected subcategories"
"broken","Wed Oct 22 01:04:44 UTC 2025","Wed Oct 22 01:04:44 UTC 2025","0","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_valid_data",""
"broken","Wed Oct 22 01:03:59 UTC 2025","Wed Oct 22 01:04:10 UTC 2025","11000","tests.test_regression","Products Tests","TestProductsBasic","","","Search products from subcategory",""
"broken","Wed Oct 22 01:07:55 UTC 2025","Wed Oct 22 01:07:55 UTC 2025","0","tests.test_regression","test_registration","TestRegistrationBoundary","","","test_registration_with_long_names",""
"passed","Wed Oct 22 01:04:44 UTC 2025","Wed Oct 22 01:04:44 UTC 2025","18","tests.test_regression","test_registration","TestRegistration","","","test_registration_page_loading",""
"broken","Wed Oct 22 01:04:10 UTC 2025","Wed Oct 22 01:04:10 UTC 2025","0","tests.test_regression","Products Tests","TestProductsBasic","","","Add book to cart",""
"passed","Wed Oct 22 01:08:27 UTC 2025","Wed Oct 22 01:08:27 UTC 2025","349","tests.test_smoke","test_home_page","TestHomePage","","","test_login_link_visible",""
"passed","Wed Oct 22 01:01:57 UTC 2025","Wed Oct 22 01:01:57 UTC 2025","87","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_empty_credentials",""
"broken","Wed Oct 22 01:03:02 UTC 2025","Wed Oct 22 01:03:02 UTC 2025","0","tests.test_regression","Cart Tests","TestCart","","","Update product quantity",""
